iter	Logloss
0	0.6887886766
1	0.6841641176
2	0.6792843176
3	0.6752654687
4	0.6729094684
5	0.66875569
6	0.6643575783
7	0.6595787831
8	0.6545644653
9	0.6505954404
10	0.6467356359
11	0.6426082137
12	0.6381138997
13	0.6336391146
14	0.6303719022
15	0.6256027362
16	0.6220182866
17	0.6181725584
18	0.6153243782
19	0.6122671874
20	0.6079714678
21	0.6048315827
22	0.6012248246
23	0.5979508898
24	0.5952218659
25	0.591836482
26	0.5880365707
27	0.5841632222
28	0.5811205809
29	0.5777776295
30	0.5756976332
31	0.5723245057
32	0.5690156438
33	0.5660191559
34	0.5634426242
35	0.5600817273
36	0.5579080438
37	0.5551276529
38	0.5531383617
39	0.5498357717
40	0.546781092
41	0.5439667677
42	0.5412884343
43	0.538476335
44	0.5356907146
45	0.5328922693
46	0.5305093793
47	0.5278739589
48	0.5260514118
49	0.5245463484
50	0.5220784389
51	0.5197099442
52	0.5167318557
53	0.5146417102
54	0.5130122318
55	0.5104808115
56	0.508966265
57	0.5063145973
58	0.5039235488
59	0.5015379808
60	0.4984948121
61	0.4959552454
62	0.4940221367
63	0.4913306789
64	0.4888224925
65	0.4865018381
66	0.4842940715
67	0.4820419756
68	0.4796783694
69	0.4774062963
70	0.475038576
71	0.4727210929
72	0.4704195615
73	0.4691961925
74	0.4670218719
75	0.4648898846
76	0.4631336663
77	0.4623691394
78	0.4604582122
79	0.4589194362
80	0.4572281086
81	0.4556484176
82	0.4541680083
83	0.4524927296
84	0.4503556799
85	0.4486500118
86	0.4466394986
87	0.444650378
88	0.4430781072
89	0.4408829432
90	0.4391302101
91	0.4375093887
92	0.435907516
93	0.4338410751
94	0.4321289994
95	0.4301684044
96	0.4287469722
97	0.4268897442
98	0.425301785
99	0.4239103056
100	0.4217548954
101	0.4209535536
102	0.4190072113
103	0.4175916404
104	0.4158377717
105	0.4145888683
106	0.4130400925
107	0.4114242726
108	0.4100052338
109	0.4084783308
110	0.4069202814
111	0.4052280973
112	0.4038766782
113	0.4026687789
114	0.401187983
115	0.3999369504
116	0.3985681072
117	0.3971951311
118	0.3960440349
119	0.3945694966
120	0.3935899346
121	0.3927253887
122	0.3910562619
123	0.389425174
124	0.3882381816
125	0.3867720533
126	0.3857654616
127	0.3844796218
128	0.3832837549
129	0.3825698212
130	0.3810606711
131	0.3806862946
132	0.3793154859
133	0.378519928
134	0.3770239977
135	0.3760557141
136	0.375298067
137	0.3746686809
138	0.3730291086
139	0.3722304214
140	0.3711643451
141	0.3702059352
142	0.369208824
143	0.3679898016
144	0.3668336312
145	0.3658579254
146	0.3647708527
147	0.3637912468
148	0.3631945815
149	0.3623347367
150	0.36171316
151	0.3606230107
152	0.3597968844
153	0.3589762175
154	0.3584043174
155	0.357609947
156	0.3567653767
157	0.355357922
158	0.354442869
159	0.3536598
160	0.3528890483
161	0.3517241849
162	0.3507268728
163	0.3495353162
164	0.3485240186
165	0.3477185979
166	0.3470504369
167	0.3457353983
168	0.3449622882
169	0.3438574752
170	0.3430198351
171	0.3420872676
172	0.3406961396
173	0.3398183439
174	0.3387437386
175	0.3377430033
176	0.3369567824
177	0.3362173705
178	0.3353295085
179	0.3344749856
180	0.3335483747
181	0.3327965758
182	0.3317736634
183	0.3310956602
184	0.3304169094
185	0.3293487295
186	0.3284261528
187	0.327457617
188	0.3267266436
189	0.3264117905
190	0.3258267982
191	0.3249905015
192	0.3243288331
193	0.3237601472
194	0.3228414862
