id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,bmi
1,2,7,0,1.54,43,2,180,583,0,18.13121943
2,2,7,0,1.56,47,2,130,400,3.5,19.31295201
3,1,10,1,1.7,61,3,90,540,5,21.10726644
4,1,10,0,1.7,62,4,100,173,5,21.4532872
5,2,10,1,1.58,64,3,120,400,1.2,25.63691716
6,2,11,1,1.58,50,3,100,903,2,20.02884153
7,1,8,1,1.65,50,4,115,209,9.59,18.36547291
8,2,4,1,1.7,57,4,100,1200,2,19.72318339
9,2,6,1,1.71,52,2,100,400,5.34,17.78324955
10,2,2,0,1.65,55,5,130,542,2,20.2020202
11,2,8,1,1.64,52,3,180,300,1,19.33372992
12,2,7,1,1.68,55,2,180,300,0.87,19.48696145
13,2,1,0,1.71,64,3,200,400,2,21.88707637
14,1,0,1,1.68,53,3,100,300,2.5,18.77834467
15,2,4,0,1.71,52,3,98,1200,2,17.78324955
16,2,7,0,1.54,43,2,180,583,0,18.13121943
17,2,7,0,1.56,47,2,130,400,3.5,19.31295201
18,1,10,1,1.7,61,3,90,540,5,21.10726644
19,1,10,0,1.7,62,4,100,173,5,21.4532872
20,2,10,1,1.58,67,3,128,320,1.2,26.83864765
21,2,6,1,1.58,50,3,120,903,2,20.02884153
22,1,6,0,1.71,50,4,115,400,2,17.09927841
23,2,4,1,1.7,57,4,100,1200,2,19.72318339
24,2,10,1,1.68,52,2,120,580,5.34,18.42403628
25,2,2,0,1.65,55,5,130,542,2,20.2020202
26,2,8,1,1.64,52,3,180,300,1,19.33372992
27,2,7,1,1.68,55,2,180,300,0.87,19.48696145
28,2,6,0,1.63,60,3,120,160,2,22.58270917
29,1,0,1,1.68,53,3,120,400,2.5,18.77834467
30,2,4,0,1.63,52,5,98,1200,2,19.57168128
31,1,3,1,1.75,75,5,50,200,1,24.48979592
32,1,10,1,1.69,75,1,90,0,41,26.25958475
33,1,6,1,1.71,75,3,90,400,41,25.64891762
34,1,11,1,1.8,60,3,120,404,0.37,18.51851852
35,1,11,0,1.7,55,1,199,611,2,19.03114187
36,1,11,0,1.62,43,5,180,6666,87,16.38469745
37,1,11,0,1,180,5,100,50,10,180
38,1,3,1,1.75,75,5,87,9487,87,24.48979592
39,2,6,0,1.63,48,2,120,400,4,18.06616734
40,2,0,0,1.63,48,2,87,250,4,18.06616734
