id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt
1,2,7.0,0,154.0,43.0,2.0,180.0,583.0,0.0
2,2,7.0,0,156.0,47.0,2.0,130.0,400.0,3.5
3,1,10.0,1,170.0,61.0,3.0,90.0,540.0,5.0
4,1,10.0,0,170.0,62.0,4.0,100.0,173.0,5.0
5,2,10.0,1,158.0,50.0,3.0,100.0,903.0,1.2
6,2,11.0,1,158.0,50.0,3.0,100.0,903.0,2.0
7,1,8.0,1,165.0,50.0,4.0,115.0,209.0,9.59
8,2,4.0,1,170.0,57.0,4.0,100.0,1200.0,2.0
9,2,11.0,1,158.0,52.0,2.0,100.0,903.0,5.34
10,2,2.0,0,165.0,55.0,5.0,130.0,542.0,2.0
11,2,8.0,1,164.0,52.0,3.0,180.0,300.0,1.0
12,2,7.0,1,168.0,55.0,2.0,180.0,300.0,0.87
13,2,1.0,0,158.0,50.0,3.0,200.0,903.0,2.0
14,1,0.0,1,168.0,53.0,2.0,100.0,300.0,2.5
15,2,4.0,0,170.0,52.0,4.0,98.0,1200.0,2.0
16,2,7.0,0,154.0,43.0,2.0,180.0,583.0,0.0
17,2,7.0,0,156.0,47.0,2.0,130.0,400.0,3.5
18,1,10.0,1,170.0,61.0,3.0,90.0,540.0,5.0
19,1,10.0,0,170.0,62.0,4.0,100.0,173.0,5.0
20,2,10.0,1,158.0,67.0,3.0,128.0,320.0,1.2
21,2,1.0,1,158.0,50.0,3.0,200.0,903.0,2.0
22,1,10.0,0,168.0,50.0,4.0,115.0,580.0,5.34
23,2,4.0,1,170.0,57.0,4.0,100.0,1200.0,2.0
24,2,10.0,1,168.0,52.0,2.0,115.0,580.0,5.34
25,2,2.0,0,165.0,55.0,5.0,130.0,542.0,2.0
26,2,8.0,1,164.0,52.0,3.0,180.0,300.0,1.0
27,2,7.0,1,168.0,55.0,2.0,180.0,300.0,0.87
28,2,0.0,0,163.0,60.0,3.0,115.0,160.0,5.0
29,1,0.0,1,168.0,53.0,5.0,130.0,542.0,2.5
30,2,4.0,0,163.0,52.0,5.0,98.0,1200.0,2.0
31,1,3.0,1,175.0,75.0,5.0,50.0,200.0,1.0
32,1,10.0,1,169.0,75.0,1.0,90.0,0.0,41.0
33,1,10.0,1,169.0,75.0,1.0,90.0,0.0,41.0
34,1,11.0,1,180.0,60.0,3.0,120.0,404.0,0.37
35,1,11.0,0,170.0,55.0,1.0,199.0,611.0,200.0
36,1,11.0,0,162.0,43.0,5.0,180.0,6666.0,87.0
37,1,11.0,0,100.0,180.0,5.0,100.0,50.0,10.0
38,1,3.0,1,175.0,75.0,5.0,87.0,9487.0,87.0
39,2,0.0,0,163.0,48.0,2.0,87.0,250.0,4.0
40,2,0.0,0,163.0,48.0,2.0,87.0,250.0,4.0
41,1,0.0,1,165.0,47.0,2.0,105.0,800.0,50.0
42,1,11.0,1,168.0,73.0,3.0,105.0,67.0,1.7
43,1,5.0,0,175.0,80.0,4.0,120.0,500.0,0.187
44,1,7.0,0,175.0,50.0,5.0,100.0,469.0,11.45
45,1,4.0,0,173.0,74.0,1.0,180.0,300.0,0.1
46,1,8.0,1,167.0,48.0,4.0,51.0,638.0,1.0
47,1,2.0,0,172.0,60.0,2.0,150.0,500.0,20.0
48,1,1.0,0,180.0,80.0,3.0,120.0,50.0,0.0
49,1,8.0,0,172.0,58.0,1.0,200.0,611.0,200.0
50,1,1.0,0,170.0,70.0,1.0,180.0,399.0,13.1
51,1,0.0,1,170.0,65.0,2.0,180.0,399.0,3.7
52,1,5.0,1,172.0,55.0,5.0,180.0,300.0,0.1
53,1,3.0,0,163.0,65.0,2.0,100.0,323.0,2.0
54,2,11.0,1,172.0,55.0,5.0,180.0,300.0,0.1
55,1,4.0,0,170.0,80.0,3.0,50.0,0.0,2.37
56,1,6.0,0,177.0,55.0,3.0,140.0,814.0,50.0
57,1,11.0,0,175.0,60.0,4.0,87.0,333.0,9.8
58,1,9.0,1,180.0,65.0,2.0,111.0,456.0,11.45
59,2,4.0,0,163.0,64.0,3.0,120.0,100.0,0.2
60,1,11.0,1,168.0,57.0,4.0,100.0,223.0,0.082
61,1,1.0,0,125.0,125.0,3.0,87.0,0.0,0.0
62,1,7.0,0,100.0,200.0,3.0,87.0,78.0,10.0
63,1,4.0,1,163.0,60.0,5.0,120.0,100.0,1.0
64,2,2.0,1,179.0,70.0,3.0,88.0,120.0,0.3
65,1,1.0,0,183.0,85.0,4.0,120.0,1000.0,20.0
66,1,1.0,1,183.0,80.0,4.0,120.0,1000.0,20.0
67,1,8.0,0,172.0,73.0,1.0,200.0,100.0,50.0
68,2,7.0,0,162.0,55.0,3.0,150.0,800.0,50.0
69,1,8.0,1,178.0,67.0,3.0,125.0,600.0,0.5
70,1,6.0,1,180.0,83.0,3.0,110.0,50.0,1.0
