id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt
1,0,9.0,0.0,,100.0,1.0,87.0,87.0,87.0
2,0,3.0,0.0,175.0,80.0,3.0,130.0,2000.0,30.0
3,0,4.0,0.0,155.0,45.0,3.0,150.0,400.0,9.0
4,0,7.0,0.0,173.0,85.0,4.0,100.0,2000.0,15.0
5,0,10.0,1.0,164.0,57.0,4.0,130.0,505.0,2.0
6,0,2.0,0.0,178.0,88.0,4.0,80.0,700.0,2.87
7,0,3.0,1.0,174.0,55.0,2.0,120.0,150.0,0.0
8,0,2.0,1.0,170.0,82.0,2.0,87.0,300.0,2.0
9,0,9.0,0.0,165.0,46.0,4.0,111.0,200.0,5.0
10,0,6.0,0.0,178.0,,4.0,187.0,287.0,20.0
11,0,8.0,1.0,190.0,89.0,2.0,120.0,185.0,0.0
12,0,5.0,1.0,175.0,66.0,3.0,130.0,600.0,50.0
13,0,2.0,0.0,185.0,60.0,5.0,180.0,0.0,60.0
14,0,11.0,0.0,173.5,71.0,2.0,130.0,1296.0,181.0
15,0,7.0,1.0,166.0,70.0,1.0,100.0,0.0,1.5
16,0,,1.0,188.0,20.0,,88.0,,
17,0,2.0,0.0,180.0,60.0,2.0,200.0,461.0,14.2
18,0,11.0,1.0,159.0,46.0,2.0,87.0,823.0,0.02
19,0,2.0,0.0,174.0,62.0,4.0,128.0,626.0,7.1
20,0,9.0,1.0,171.0,64.0,4.0,130.0,360.0,5.0
21,0,3.0,0.0,175.0,80.0,3.0,140.0,300.0,1.0
22,0,1.0,1.0,165.0,60.0,2.0,120.0,849.0,1.0
23,0,5.0,0.0,173.0,70.0,4.0,120.0,200.0,2.0
24,0,2.0,1.0,171.0,55.0,3.0,125.0,555.0,3.0
25,0,5.0,0.0,173.0,70.0,4.0,120.0,200.0,2.0
26,0,9.0,1.0,181.0,65.0,3.0,87.0,400.0,1.0
27,0,6.0,0.0,173.0,70.0,5.0,126.0,250.0,0.1
28,0,11.0,0.0,178.0,67.0,5.0,200.0,491.0,0.088
29,0,1.0,0.0,172.0,69.0,4.0,128.0,1000.0,13.6667
30,0,9.0,1.0,165.0,60.0,5.0,120.0,462.0,2.36
31,0,5.0,1.0,170.0,57.0,4.0,167.0,437.0,0.008
32,0,1.0,0.0,153.0,52.0,4.0,180.0,465.0,7.6
33,0,5.0,0.0,180.0,70.0,5.0,180.0,600.0,10.0
34,0,5.0,1.0,,59.0,4.0,,,
