id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt
1,2,7,0,154,43,2,180,583,0
2,2,7,0,156,47,2,130,400,3.5
3,1,10,1,170,61,3,90,540,5
4,1,10,0,170,62,4,100,173,5
5,2,10,1,158,,3,,,1.2
6,2,11,1,158,50,3,100,903,2
7,1,8,1,165,50,4,115,209,9.59
8,2,4,1,170,57,4,100,1200,
9,2,,1,,52,2,100,,5.34
10,2,2,0,165,55,5,130,542,2
11,2,8,1,164,52,3,180,300,1
12,2,7,1,168,55,2,180,300,0.87
13,2,1,0,,,3,200,,
14,1,0,1,168,53,,100,300,2.5
15,2,4,0,,52,,98,1200,2
16,2,7,0,154,43,2,180,583,0
17,2,7,0,156,47,2,130,400,3.5
18,1,10,1,170,61,3,90,540,5
19,1,10,0,170,62,4,100,173,5
20,2,10,1,158,67,3,128,320,1.2
21,2,,1,158,50,3,,903,2
22,1,,0,,50,4,115,,
23,2,4,1,170,57,4,100,1200,
24,2,10,1,168,52,2,,580,5.34
25,2,2,0,165,55,5,130,542,2
26,2,8,1,164,52,3,180,300,1
27,2,7,1,168,55,2,180,300,0.87
28,2,,0,163,60,3,,160,
29,1,0,1,168,53,,,,2.5
30,2,4,0,163,52,5,98,1200,2
31,1,3,1,175,75,5,50,200,1
32,1,10,1,169,75,1,90,0,41
33,1,,1,,75,,90,,41
34,1,11,1,180,60,3,120,404,0.37
35,1,11,0,170,55,1,199,611,
36,1,11,0,162,43,5,180,6666,87
37,1,11,0,100,180,5,100,50,10
38,1,3,1,175,75,5,87,9487,87
39,2,,0,163,48,2,,,4
40,2,0,0,163,48,2,87,250,4
41,1,0,1,165,47,,105,800,
42,1,11,1,,73,,105,67,1.7
43,1,5,0,175,80,4,120,500,0.187
44,1,7,0,175,50,5,100,469,
45,1,4,0,173,74,1,180,,
46,1,8,1,167,48,4,51,638,1
47,1,2,0,172,60,2,150,500,20
48,1,,0,,80,3,120,50,0
49,1,8,0,172,58,,200,,200
50,1,1,0,170,70,1,180,,13.1
51,1,0,1,,65,2,,399,3.7
52,1,5,1,172,,,,300,0.1
53,1,3,0,163,65,2,100,323,2
54,2,11,1,,55,5,180,,
55,1,4,0,170,80,,50,0,2.37
56,1,6,0,177,55,3,140,814,50
57,1,11,0,175,60,4,87,333,9.8
58,1,9,1,180,65,2,111,456,11.45
59,2,4,0,,64,3,,,0.2
60,1,11,1,168,57,4,100,223,0.082
61,1,1,0,125,125,3,87,0,0
62,1,7,0,,200,3,87,78,
63,1,,1,,60,5,120,100,1
64,2,2,1,179,70,3,88,120,0.3
65,1,1,0,,85,4,120,,
66,1,1,1,183,80,,,1000,20
67,1,8,0,172,73,1,200,100,50
68,2,7,0,162,,3,150,800,
69,1,8,1,178,67,3,125,600,0.5
70,1,6,1,180,83,3,110,50,1
71,1,10,1,175,70,4,111,1,20
72,2,,0,155,53,,,300,
73,1,6,1,180,75,2,150,500,5
74,1,7,0,170,65,4,87,200,10
75,1,11,0,164,71,1,95,150,20
76,1,7,0,170,60,4,120,650,5
77,2,10,0,160,50,5,88,536,10
78,2,8,0,156,48,2,180,100,2
79,1,6,1,170,74,3,99,99,10
80,1,3,0,168,73,2,180,150,8
81,1,4,0,172,75,,111,20,1
82,1,8,1,170,70,4,188,500,1000
83,1,1,0,173,70,5,100,200,0
84,1,2,0,175,82,2,90,300,0.2
85,1,7,0,173,63,4,160,430,6
86,1,7,0,173,63,,160,,6
87,1,8,0,182,75,1,,,0
88,2,,1,,50,,100,50,3
89,2,,0,160,,3,145,,
90,2,4,1,161,80,2,110,150,3
91,1,5,0,169,65,4,87,987,887
92,1,,0,184,68,4,187,8787,
93,2,1,0,165,47,3,110,899,2
94,1,2,1,162,50,2,140,1234,0.5
95,1,7,0,176,74,5,200,1300000000,2
96,2,5,0,155,,4,180,300,0
97,1,7,1,123,123,3,123,123,123
98,1,0,1,178,68,5,120,1100,0.1
