id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt
1.0,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0
2.0,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5
3.0,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0
4.0,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0
5.0,2,10.0,1.0,158.0,50.948494380983234,3.0,124.75170845301017,613.5703421457919,1.2
6.0,2,11.0,1.0,158.0,50.0,3.0,100.0,903.0,2.0
7.0,1,8.0,1.0,165.0,50.0,4.0,115.0,209.0,9.59
8.0,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,62.51660278814191
9.0,2,5.665165718744536,1.0,159.29020277046857,52.0,2.0,100.0,613.5558328320075,5.34
10.0,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0
11.0,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0
12.0,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87
13.0,2,1.0,0.0,161.78364369961315,57.41104001979939,3.0,200.0,613.5737162844033,62.66122117514043
14.0,1,0.0,1.0,168.0,53.0,3.186302949901253,100.0,300.0,2.5
15.0,2,4.0,0.0,159.85411149468132,52.0,3.185338656084215,98.0,1200.0,2.0
16.0,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0
17.0,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5
18.0,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0
19.0,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0
20.0,2,10.0,1.0,158.0,67.0,3.0,128.0,320.0,1.2
21.0,2,5.719232952696086,1.0,158.0,50.0,3.0,125.82026857881733,903.0,2.0
22.0,1,5.666814188488173,0.0,168.67888065679603,50.0,4.0,115.0,613.5320580216373,62.664533732692824
23.0,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,62.51635218402405
24.0,2,10.0,1.0,168.0,52.0,2.0,124.60410911132986,580.0,5.34
25.0,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0
26.0,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0
27.0,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87
28.0,2,5.564958649016232,0.0,163.0,60.0,3.0,122.90067997600168,160.0,62.77952979818712
29.0,1,0.0,1.0,168.0,53.0,3.2075420048419923,124.73272037168375,613.5666554550832,2.5
30.0,2,4.0,0.0,163.0,52.0,5.0,98.0,1200.0,2.0
31.0,1,3.0,1.0,175.0,75.0,5.0,50.0,200.0,1.0
32.0,1,10.0,1.0,169.0,75.0,1.0,90.0,0.0,41.0
33.0,1,5.654006825373611,1.0,175.24492106119334,75.0,3.19464373139944,90.0,613.531140581623,41.0
34.0,1,11.0,1.0,180.0,60.0,3.0,120.0,404.0,0.37
35.0,1,11.0,0.0,170.0,55.0,1.0,199.0,611.0,62.66168078244279
36.0,1,11.0,0.0,162.0,43.0,5.0,180.0,6666.0,87.0
37.0,1,5.656281141628912,0.4786211098674902,169.42550158590498,62.332446991143556,3.194761661426598,124.58889678515878,613.5349233228302,62.66431004928175
38.0,1,3.0,1.0,175.0,75.0,5.0,87.0,9487.0,87.0
39.0,2,5.645682809799976,0.0,163.0,48.0,2.0,124.72261112902244,613.5639335066128,4.0
40.0,2,0.0,0.0,163.0,48.0,2.0,87.0,250.0,4.0
41.0,1,0.0,1.0,165.0,47.0,3.1930757121686097,105.0,800.0,62.61703522828269
42.0,1,11.0,1.0,174.63687502964166,73.0,3.221220414878139,105.0,67.0,1.7
43.0,1,5.0,0.0,175.0,80.0,4.0,120.0,500.0,0.187
44.0,1,7.0,0.0,175.0,50.0,5.0,100.0,469.0,62.70169977076394
45.0,1,4.0,0.0,173.0,74.0,1.0,180.0,613.5608079500596,62.66233718048374
