id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt
1.0,2.0,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0
2.0,2.0,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5
3.0,1.0,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0
4.0,1.0,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0
5.0,2.0,10.0,1.0,158.0,67.0,3.0,125.2,370.0,1.2
6.0,2.0,11.0,1.0,158.0,50.0,3.0,100.0,903.0,2.0
7.0,1.0,8.0,1.0,165.0,50.0,4.0,115.0,209.0,9.59
8.0,2.0,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,1.6290059799999999
9.0,2.0,9.4,1.0,166.3,52.0,2.0,100.0,521.3,5.34
10.0,2.0,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0
11.0,2.0,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0
12.0,2.0,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87
13.0,2.0,1.0,0.0,162.6,53.3,3.0,200.0,3049.2,161.0272
14.0,1.0,0.0,1.0,168.0,53.0,4.1,100.0,300.0,2.5
15.0,2.0,4.0,0.0,163.2,52.0,4.8,98.0,1200.0,2.0
16.0,2.0,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0
17.0,2.0,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5
18.0,1.0,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0
19.0,1.0,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0
20.0,2.0,10.0,1.0,158.0,67.0,3.0,128.0,320.0,1.2
21.0,2.0,7.7,1.0,158.0,50.0,3.0,110.2,903.0,2.0
22.0,1.0,7.6,0.0,170.5,50.0,4.0,115.0,362.5,25.387999999999998
23.0,2.0,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,1.6290059799999999
24.0,2.0,10.0,1.0,168.0,52.0,2.0,104.8,580.0,5.34
25.0,2.0,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0
26.0,2.0,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0
27.0,2.0,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87
28.0,2.0,5.0,0.0,163.0,60.0,3.0,121.4,160.0,0.9899999999999999
29.0,1.0,0.0,1.0,168.0,53.0,4.1,100.0,300.0,2.5
30.0,2.0,4.0,0.0,163.0,52.0,5.0,98.0,1200.0,2.0
31.0,1.0,3.0,1.0,175.0,75.0,5.0,50.0,200.0,1.0
32.0,1.0,10.0,1.0,169.0,75.0,1.0,90.0,0.0,41.0
33.0,1.0,7.1,1.0,174.5,75.0,3.4,90.0,831.1,41.0
34.0,1.0,11.0,1.0,180.0,60.0,3.0,120.0,404.0,0.37
35.0,1.0,11.0,0.0,170.0,55.0,1.0,199.0,611.0,402.9
36.0,1.0,11.0,0.0,162.0,43.0,5.0,180.0,6666.0,87.0
37.0,1.0,5.0,0.6,171.5,68.5,2.9,118.2,460.8,4.436400000000001
38.0,1.0,3.0,1.0,175.0,75.0,5.0,87.0,9487.0,87.0
39.0,2.0,4.6,0.0,163.0,48.0,2.0,115.1,304.2,4.0
