id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
1,2,7,0,154,43,2,180,583,0,Beautiful
2,2,7,0,156,47,2,130,400,3.5,Enjoying being who I'm notsss
3,1,10,1,170,61,3,90,540,5,Practice Makes perfect
4,1,10,0,170,62,4,100,173,5,Straightforward
5,2,10,1,158,,3,,,1.2,Humorous
6,2,11,1,158,50,3,100,903,2,I am cute
7,1,8,1,165,50,4,115,209,9.59,Homo sapiens
8,2,4,1,170,57,4,100,1200,,Um..Haha
9,2,,1,,52,2,100,,5.34,I am quite.
10,2,2,0,165,55,5,130,542,2,Beautiful
11,2,8,1,164,52,3,180,300,1,Beautiful and smart
12,2,7,1,168,55,2,180,300,0.87,Beautiful and smart
13,2,1,0,,,3,200,,,Brilliant
14,1,0,1,168,53,,100,300,2.5,Work hard play hard
15,2,4,0,,52,,98,1200,2,Q
16,2,7,0,154,43,2,180,583,0,Beautiful
17,2,7,0,156,47,2,130,400,3.5,Enjoying being who I'm not
18,1,10,1,170,61,3,90,540,5,Practice Makes perfect
19,1,10,0,170,62,4,100,173,5,Straightforward
20,2,10,1,158,67,3,128,320,1.2,Humorous
21,2,,1,158,50,3,,903,2,I am cute
22,1,,0,,50,4,115,,,Homo sapiens
23,2,4,1,170,57,4,100,1200,,Um..Haha
24,2,10,1,168,52,2,,580,5.34,I am quite.
25,2,2,0,165,55,5,130,542,2,Beautiful
26,2,8,1,164,52,3,180,300,1,Beautiful and smart
27,2,7,1,168,55,2,180,300,0.87,Beautiful and smart
28,2,,0,163,60,3,,160,,Brilliant
29,1,0,1,168,53,,,,2.5,Work hard play hard
30,2,4,0,163,52,5,98,1200,2,Q
31,1,3,1,175,75,5,50,200,1,I am so handsome
32,1,10,1,169,75,1,90,0,41,I just wanna run.
33,1,,1,,75,,90,,41,I just wanna run.
34,1,11,1,180,60,3,120,404,0.37,Surprising
35,1,11,0,170,55,1,199,611,,Very lazy
36,1,11,0,162,43,5,180,6666,87,handsome
37,1,11,0,100,180,5,100,50,10,Fake
38,1,3,1,175,75,5,87,9487,87,I am fine thank u
39,2,,0,163,48,2,,,4,tired
40,2,0,0,163,48,2,87,250,4,tired
41,1,0,1,165,47,,105,800,,Be happy
42,1,11,1,,73,,105,67,1.7,Lazy
43,1,5,0,175,80,4,120,500,0.187,Hi
44,1,7,0,175,50,5,100,469,,I am fakes' fans
45,1,4,0,173,74,1,180,,,Hi
46,1,8,1,167,48,4,51,638,1,Go big or go home
47,1,2,0,172,60,2,150,500,20,Cool
48,1,,0,,80,3,120,50,0,interesting
49,1,8,0,172,58,,200,,200,Boring
50,1,1,0,170,70,1,180,,13.1,Karma
51,1,0,1,,65,2,,399,3.7,handsome
52,1,5,1,172,,,,300,0.1,Good
53,1,3,0,163,65,2,100,323,2,i?òm lazy.
54,2,11,1,,55,5,180,,,Good at listen to other
55,1,4,0,170,80,,50,0,2.37,crazy
56,1,6,0,177,55,3,140,814,50,Shy and preserved
57,1,11,0,175,60,4,87,333,9.8,‰∏çË?
58,1,9,1,180,65,2,111,456,11.45,I am kind
59,2,4,0,,64,3,,,0.2,A girl.
60,1,11,1,168,57,4,100,223,0.082,despair
61,1,1,0,125,125,3,87,0,0,Ah
62,1,7,0,,200,3,87,78,,I have a pen
63,1,,1,,60,5,120,100,1,Good
64,2,2,1,179,70,3,88,120,0.3,Show me the money!
65,1,1,0,,85,4,120,,,handsome
66,1,1,1,183,80,,,1000,20,smart and handson
67,1,8,0,172,73,1,200,100,50,lol
68,2,7,0,162,,3,150,800,,Fintech
69,1,8,1,178,67,3,125,600,0.5,Happy
70,1,6,1,180,83,3,110,50,1,try everything
71,1,10,1,175,70,4,111,1,20,"Luke, I am Your Father"
72,2,,0,155,53,,,300,,BlingBling
73,1,6,1,180,75,2,150,500,5,I'm boring man.
74,1,7,0,170,65,4,87,200,10,prefect
75,1,11,0,164,71,1,95,150,20,I love fishing.
76,1,7,0,170,60,4,120,650,5,nice.
77,2,10,0,160,50,5,88,536,10,Marginalized
78,2,8,0,156,48,2,180,100,2,Open mind
79,1,6,1,170,74,3,99,99,10,busy
80,1,3,0,168,73,2,180,150,8,Young
81,1,4,0,172,75,,111,20,1,I am a happy man.
82,1,8,1,170,70,4,188,500,1000,Simple
83,1,1,0,173,70,5,100,200,0,IMMGT
84,1,2,0,175,82,2,90,300,0.2,I'm so cute
85,1,7,0,173,63,4,160,430,6,Humorous person
86,1,7,0,173,63,,160,,6,Humorous person
87,1,8,0,182,75,1,,,0,hello world
88,2,,1,,50,,100,50,3,I am a nervous person.
89,2,,0,160,,3,145,,,Old
90,2,4,1,161,80,2,110,150,3,Happy
91,1,5,0,169,65,4,87,987,887,I am 87
92,1,,0,184,68,4,187,8787,,Fuck you
93,2,1,0,165,47,3,110,899,2,I am a good people
94,1,2,1,162,50,2,140,1234,0.5,Â∏?
95,1,7,0,176,74,5,200,1300000000,2,Cool dude
96,2,5,0,155,,4,180,300,0,Human.
97,1,7,1,123,123,3,123,123,123,‰∏Ä?•Ë©±
98,1,0,1,178,68,5,120,1100,0.1,Gentle
99,1,1,0,176,64,,100,120,5,I am otaku
100,1,,0,,55,,,0,100,Dank
101,1,,1,169.87,55.87,1,133,,,viewer
102,1,10,1,170,65,2,124,150,1,Brilliant
103,1,8,0,174,83,3,148,1915,20.7,Incredible
104,1,5,1,172,68,3,140,530,0.2,GGININDER
105,1,10,0,172,66,3,187,888,32,Family
106,2,,0,,60,2,135,,,Brilliant
107,1,1,0,168,,5,130,400,,A man likes to dream.
108,1,11,0,176,63,2,100,800,1,Cool
109,1,7,0,178,87,4,180,512,0.87,"I'm a super cool rapper, yo."
