id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,bmi
1,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0,18.13121942992073
2,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5,19.312952005259696
3,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0,21.107266435986162
4,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0,21.453287197231838
5,2,10.0,1.0,158.0,61.4,3.0,110.6,498.6,1.2,24.595417401057517
6,2,11.0,1.0,158.0,50.0,3.0,100.0,903.0,2.0,20.028841531805796
7,1,8.0,1.0,165.0,50.0,4.0,115.0,209.0,9.59,18.36547291092746
8,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,2.288,19.723183391003463
9,2,4.0,1.0,171.6,52.0,2.0,100.0,335.8,5.34,17.65910856819948
10,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0,20.202020202020204
11,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0,19.333729922665082
12,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87,19.48696145124717
13,2,1.0,0.0,158.8,57.8,3.0,200.0,352.0,128.0,22.920645394615786
14,1,0.0,1.0,168.0,53.0,3.2,100.0,300.0,2.5,18.77834467120182
15,2,4.0,0.0,169.4,52.0,4.0,98.0,1200.0,2.0,18.120765142338612
16,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0,18.13121942992073
17,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5,19.312952005259696
18,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0,21.107266435986162
19,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0,21.453287197231838
20,2,10.0,1.0,158.0,67.0,3.0,128.0,320.0,1.2,26.83864765261977
21,2,8.2,1.0,158.0,50.0,3.0,145.6,903.0,2.0,20.028841531805796
22,1,7.0,0.0,164.8,50.0,4.0,115.0,421.2,4.918,18.410076350268636
23,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,2.288,19.723183391003463
24,2,10.0,1.0,168.0,52.0,2.0,133.6,580.0,5.34,18.42403628117914
25,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0,20.202020202020204
26,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0,19.333729922665082
27,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87,19.48696145124717
28,2,6.8,0.0,163.0,60.0,3.0,154.6,160.0,204.6,22.582709172343712
29,1,0.0,1.0,168.0,53.0,3.8,142.2,552.4,2.5,18.77834467120182
30,2,4.0,0.0,163.0,52.0,5.0,98.0,1200.0,2.0,19.57168128269788
31,1,3.0,1.0,175.0,75.0,5.0,50.0,200.0,1.0,24.489795918367346
32,1,10.0,1.0,169.0,75.0,1.0,90.0,0.0,41.0,26.25958474843318
33,1,5.0,1.0,173.2,75.0,3.4,90.0,356.0,41.0,25.001466752716162
34,1,11.0,1.0,180.0,60.0,3.0,120.0,404.0,0.37,18.51851851851852
35,1,11.0,0.0,170.0,55.0,1.0,199.0,611.0,240.72,19.031141868512112
36,1,11.0,0.0,162.0,43.0,5.0,180.0,6666.0,87.0,16.384697454656298
38,1,3.0,1.0,175.0,75.0,5.0,87.0,9487.0,87.0,24.489795918367346
39,2,5.8,0.0,163.0,48.0,2.0,137.4,639.2,4.0,18.06616733787497
40,2,0.0,0.0,163.0,48.0,2.0,87.0,250.0,4.0,18.06616733787497
41,1,0.0,1.0,165.0,47.0,3.6,105.0,800.0,2.968,17.263544536271812
42,1,11.0,1.0,171.4,73.0,3.0,105.0,67.0,1.7,24.84855994085362
43,1,5.0,0.0,175.0,80.0,4.0,120.0,500.0,0.187,26.122448979591837
