id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
37,1,11.0,0.0,100.0,180.0,5.0,100.0,50.0,10.0,Fake
61,1,1.0,0.0,125.0,125.0,3.0,87.0,0.0,0.0,Ah
65,1,1.0,0.0,102.0,85.0,4.0,120.0,347.6,23.0,handsome
95,1,7.0,0.0,176.0,74.0,5.0,200.0,1300000000.0,2.0,Cool dude
97,1,7.0,1.0,123.0,123.0,3.0,123.0,123.0,123.0,一句話
106,2,6.8,0.0,99.0,60.0,2.0,135.0,2150.0,24.8,Brilliant
127,1,2.0,0.0,175.0,7.0,5.0,100.0,1000.0,0.06,I’m handsome
132,1,0.0,1.0,1000000000.0,2000000000.0,1.0,122.0,3000000000.0,4000000000.0,.
134,1,1.0,0.0,1e+111,1e+111,1.0,125.02470752089135,1e+255,11236887.9177541,.
147,2,6.0,0.0,168.0,49.0,1.0,87.0,2000.0,40001.1,Hi
150,2,6.0,0.0,168.0,49.0,1.0,87.0,2000.0,99999.0,Hi
186,1,6.0,0.0,169.2,400000067.2,5.0,143.4,600000273.0,800000039.0600001,Happy
203,2,6.0,0.0,168.0,49.0,1.0,87.0,2000.0,99999.0,Hi
206,2,6.0,0.0,168.0,49.0,1.0,113.8,2000.0,40001.868,Hi
217,2,11.0,0.0,90.0,50.0,2.0,123.0,2268.6,0.5,Beautiful
234,2,0.0,0.0,95.8,55.0,3.2,110.0,1945.0,0.0,misaka mikoto
253,1,5.0,0.0,30.0,87.0,5.0,200.0,1.0,0.0,Shit
254,2,8.0,1.0,15.0,500.0,4.2,50.0,591.4,0.001,unique and fat
266,1,3.0,1.0,12.0,12.0,2.0,87.0,12.0,12.0,Re
271,1,6.0,0.0,-187.0,56.8,1.0,146.6,8787.0,0.0,Useless
292,1,2.0,1.0,-1000.0,-1000.0,1.0,200.0,-1000.0,-1000.0,哈哈哈笑你～～～
303,2,4.0,1.0,180.0,78.0,1.0,200.0,9999999.0,999.0,Haha
304,2,2.8,1.0,175.4,78.0,3.4,200.0,2000473.2,999.0,Haha
308,2,1.0,0.0,900.0,10.0,5.0,199.0,10.0,1.0,good
317,1,4.0,1.0,178.0,83.0,4.0,50.0,0.0,9999.0,GGGGGGG
330,1,11.0,1.0,172.0,56.0,2.0,188.0,1131.6,88888.0,handsome
375,1,3.0,0.0,174.0,70.0,2.0,199.0,0.0,9999.0,Q^Q
381,1,8.0,1.0,200.0,10.0,1.0,50.0,0.0,1000.0,Free
383,1,4.0,1.0,165.0,70.0,5.0,200.0,100000.0,0.5,test
421,1,8.0,0.0,174.0,72.0,3.6,155.6,260000350.0,2.1,Sunny
