iter	Logloss
0	0.6890275382
1	0.6847027916
2	0.6791573163
3	0.6747430705
4	0.6695246827
5	0.6638054853
6	0.65903881
7	0.6540596756
8	0.6493864605
9	0.6433084871
10	0.6383009907
11	0.6336371694
12	0.629180897
13	0.6251193973
14	0.6210713274
15	0.6172075839
16	0.6133512829
17	0.6095902273
18	0.6056776933
19	0.6012628921
20	0.5970914292
21	0.5938552057
22	0.5899864587
23	0.586595743
24	0.5833617937
25	0.5791206944
26	0.5744110971
27	0.571071339
28	0.5674186296
29	0.5633678936
30	0.5598343311
31	0.5565338579
32	0.553019033
33	0.5493356127
34	0.5473262681
35	0.543930902
36	0.540257736
37	0.538763361
38	0.5362999769
39	0.5321915549
40	0.5289986467
41	0.5263268898
42	0.523393077
43	0.5204522836
44	0.5186101878
45	0.5165837965
46	0.5136486601
47	0.5109213354
48	0.5085430423
49	0.5053076098
50	0.5033914444
51	0.4997913615
52	0.497017935
53	0.4935719441
54	0.4912252643
55	0.4891200098
56	0.4869926861
57	0.4852747169
58	0.483370044
59	0.4804450618
60	0.4775231215
61	0.4751405669
62	0.4733045324
63	0.471235959
64	0.4682598738
65	0.4664459523
66	0.4641637013
67	0.4617299002
68	0.4594451657
69	0.4567789765
70	0.4547750351
71	0.4521916425
72	0.4506820043
73	0.4483026285
74	0.4457362853
75	0.4439295585
76	0.442045086
77	0.439735903
78	0.4368689615
79	0.4348391795
80	0.4329688767
81	0.4313104265
82	0.4296896768
83	0.4284147973
84	0.4270288887
85	0.4247719841
86	0.4231749222
87	0.421852297
88	0.4198462792
89	0.4175719782
90	0.4156801997
91	0.4144600348
92	0.4132400129
93	0.4109326075
94	0.4092007147
95	0.4073152491
96	0.4058839731
97	0.4042554987
98	0.4021303879
99	0.400413774
100	0.3988751693
101	0.3974983296
102	0.3964555773
103	0.3949736459
104	0.3934086982
105	0.3920406052
106	0.3908005208
107	0.3890319011
108	0.3877753598
109	0.3862249994
110	0.3846149285
111	0.3829374729
112	0.3808942734
113	0.379515422
114	0.3781284573
115	0.3765833939
116	0.375098147
117	0.3737221927
118	0.3726391038
119	0.3711317818
120	0.3698139504
121	0.3688825815
122	0.3669692586
123	0.3655042516
124	0.3642005953
125	0.3629186663
126	0.3619203051
127	0.3602792808
128	0.3593264203
129	0.3581486217
130	0.3568594888
131	0.3552104832
132	0.353882038
133	0.3524795336
134	0.3514354415
135	0.3499453913
136	0.3487134851
137	0.3474769128
138	0.3463204272
139	0.3451380162
140	0.3439817249
141	0.342711077
142	0.3419058372
143	0.340804466
144	0.3396569197
145	0.3387334786
146	0.3373616052
147	0.3360493409
148	0.3346815772
149	0.334198946
150	0.3328770832
151	0.3315012552
152	0.3300404553
153	0.3291923399
154	0.3282832403
155	0.327279804
156	0.3264860389
157	0.3256326398
158	0.3246718299
159	0.3238925652
160	0.3232783908
161	0.3223159244
162	0.3215990215
163	0.3202873969
164	0.3190574115
165	0.3177371483
166	0.3166586239
167	0.3159845267
168	0.3153331836
169	0.3145681622
170	0.3136526004
171	0.3127187022
172	0.3121152819
173	0.3114374596
174	0.3103934726
175	0.3096803855
176	0.3091333536
177	0.3083741042
178	0.3075033855
179	0.3062248236
180	0.3050488439
181	0.3042172618
182	0.3035347055
183	0.3025681526
184	0.3015044559
185	0.3003976627
186	0.2995713197
187	0.2986552464
188	0.2976169655
189	0.2968383643
190	0.2964246522
191	0.2959245087
192	0.2950729709
193	0.2943650533
194	0.2939358972
195	0.293201999
196	0.2925785146
197	0.2917813544
198	0.2910999613
199	0.2905995301
200	0.2899105751
201	0.289267023
202	0.2884998406
203	0.2880174226
204	0.2873888123
205	0.2869442555
206	0.2863042314
207	0.2859746611
208	0.2855202694
209	0.2851826996
210	0.2846091215
211	0.2838401151
212	0.2831088048
213	0.2821577656
214	0.2808679636
215	0.2804322381
216	0.279671176
217	0.2790795961
218	0.2786047794
219	0.2781814346
220	0.2775199963
221	0.2766707181
222	0.2760048435
223	0.2749573552
224	0.2744428621
225	0.2737196901
226	0.2730267788
227	0.2722994395
228	0.2720688878
229	0.271553391
230	0.2707021757
231	0.2703151337
232	0.2695747895
233	0.2688896348
234	0.2681557631
235	0.2675481334
236	0.2667533398
237	0.2660793642
238	0.2653402407
239	0.2647813439
240	0.2643242143
241	0.2638332104
242	0.263463072
243	0.2628597144
244	0.2625886255
245	0.2621012353
246	0.2615350561
247	0.2610849513
248	0.2606451106
249	0.2600005044
250	0.2592109275
251	0.2586721192
252	0.2584853921
253	0.2581753882
254	0.2576045062
255	0.2570285601
256	0.2566641074
257	0.2563946601
258	0.2558967679
259	0.255219992
260	0.2546067317
261	0.2541784952
262	0.2536872243
263	0.2531709001
264	0.2522776013
265	0.2516874553
266	0.2511308893
267	0.2507038189
268	0.2504227264
269	0.2499074073
270	0.2493605486
271	0.2487375491
272	0.248074077
273	0.2473225757
274	0.2467681498
275	0.2465032208
276	0.246133182
277	0.2455282065
278	0.2449435719
279	0.2444726933
280	0.2439274451
281	0.2434252412
282	0.2430026294
283	0.2427035175
284	0.2423535305
285	0.2422430934
286	0.2418376952
287	0.2411378823
288	0.2406839351
289	0.240140586
290	0.2398000726
291	0.2395154492
292	0.2390487039
293	0.2382747532
294	0.2377939493
295	0.2374669895
296	0.2372468719
297	0.2368069148
298	0.2365357523
299	0.2359914693
300	0.2355516661
301	0.2350349003
302	0.2348576281
303	0.2344920768
304	0.2337508833
305	0.233216692
306	0.2328859688
307	0.2326017818
308	0.2320646663
309	0.2315488451
310	0.2310991202
311	0.2306397992
312	0.2302341889
313	0.2299179639
314	0.2296714874
315	0.2295825422
316	0.2292629738
317	0.2290928627
318	0.2287704347
319	0.2282617924
320	0.2277524155
321	0.2274169439
322	0.2269242564
323	0.2267332531
324	0.2262687727
325	0.2257674528
326	0.225298174
327	0.2250759152
328	0.2244935909
329	0.223878233
330	0.2232659499
331	0.2228383384
332	0.2223549455
333	0.2216378026
334	0.2213383726
335	0.2208790144
336	0.2205023297
337	0.2202657836
338	0.2199421852
339	0.2195892373
340	0.2192241802
341	0.2190584949
342	0.2187877255
343	0.2186389436
344	0.2182055266
345	0.2179289244
346	0.2177199024
347	0.2170720555
348	0.2166822905
349	0.2161130497
350	0.2157165582
351	0.2153830192
352	0.214985388
353	0.2146660092
354	0.2140959344
355	0.2136217244
356	0.2134126076
357	0.2130918727
358	0.2129577231
359	0.2125401829
360	0.2123206791
361	0.2116176438
362	0.2112568579
363	0.2108924031
364	0.2106876305
365	0.2100812674
366	0.209552034
367	0.209116151
368	0.208602485
369	0.2081671774
370	0.2078256296
371	0.2074746785
372	0.2071131585
373	0.207071364
374	0.2067751363
375	0.2065517412
376	0.2060834094
377	0.2057910549
378	0.2055282059
379	0.2051865056
380	0.204845318
381	0.2043820162
382	0.2042425789
383	0.2035798229
384	0.2029948475
385	0.2028171441
386	0.2026766547
387	0.2020325918
388	0.2017383813
389	0.201254586
390	0.2009781292
391	0.2007410854
392	0.2004179167
393	0.200332038
394	0.1996852604
395	0.1994609693
396	0.1991595255
397	0.1988285084
398	0.1987193341
399	0.1983995578
400	0.1981934778
401	0.1979866618
402	0.1974773186
403	0.1969766071
404	0.196735683
405	0.1965267731
406	0.196126035
407	0.1958178954
408	0.1954013413
409	0.1951402888
410	0.1946436819
411	0.1941030531
412	0.1938371031
413	0.1933029885
414	0.1929924872
415	0.1926550148
416	0.1923734491
417	0.1919675909
418	0.1914859638
419	0.1909224114
420	0.1905930865
421	0.1902987879
422	0.1900940454
423	0.1897485083
424	0.1893494063
425	0.1887436898
426	0.188581644
427	0.1881740845
428	0.1877326668
429	0.1872697326
430	0.1870201373
431	0.186834696
432	0.1864320243
433	0.18608073
434	0.1858607641
435	0.1855780947
436	0.1854055925
437	0.1850604605
438	0.1848205738
439	0.1843713426
440	0.1836798438
441	0.1834716347
442	0.1831595392
443	0.1829884613
444	0.1824917593
445	0.1822665354
446	0.1819034013
447	0.1814937686
448	0.1812623731
449	0.1811821419
450	0.180709206
451	0.1805777835
452	0.1800933737
453	0.1798415855
454	0.1794956014
455	0.1792117746
456	0.1788295038
457	0.178572822
458	0.1784359642
459	0.1780581061
460	0.1778700421
461	0.1777578418
462	0.177363304
463	0.1771920009
464	0.176814003
465	0.1764420757
466	0.1761964698
467	0.175925889
468	0.1756279651
469	0.1752832274
470	0.1750542248
471	0.1748010968
472	0.174497281
473	0.1743230669
474	0.174168915
475	0.1739199653
476	0.173631696
477	0.1733683466
478	0.1730970284
479	0.1729066055
480	0.1726403748
481	0.1725414266
482	0.1720425861
483	0.1718339787
484	0.171615577
485	0.1713819457
486	0.1711770076
487	0.1707911618
488	0.1705334727
489	0.170257134
490	0.1699795412
491	0.1695742811
492	0.1694206427
493	0.1690383426
494	0.168628401
495	0.1682841098
496	0.1681242753
497	0.167880004
498	0.1676341704
499	0.1675224461
500	0.1670906952
501	0.1668517932
502	0.1666967654
503	0.1665204872
504	0.1664014953
505	0.1662814759
506	0.1661027666
507	0.1660401532
508	0.1658164293
509	0.1654342093
510	0.1652334789
511	0.1648631943
512	0.1645468756
513	0.1643317778
514	0.1640483033
515	0.1637289731
