id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
37,1,摩羯座,Apple,100.0,180.0,5.0,100.0,50.0,10,Fake
61,1,雙魚座,Apple,125.0,125.0,3.0,87.0,0.0,0,Ah
97,1,處女座,Android,123.0,123.0,3.0,123.0,123.0,123,一句話
132,1,水瓶座,Android,1000000000.0,2000000000.0,1.0,122.0,3000000000.0,4000000000,.
134,1,雙魚座,Apple,1e+111,1e+111,1.0,,1e+255,#NUM!,.
164,1,天蠍座,Apple,200.0,100.0,1.0,200.0,10000.0,64,GOAT
220,1,天蠍座,,200.0,100.0,,200.0,,64,GOAT
253,1,巨蟹座,,30.0,87.0,5.0,200.0,1.0,0,Shit
254,2,天秤座,Android,15.0,500.0,,50.0,,0.001,unique and fat
266,1,金牛座,Android,12.0,12.0,2.0,87.0,12.0,12,Re
271,1,,,-187.0,,1.0,,8787.0,0,Useless
292,1,牡羊座,Android,-1000.0,-1000.0,1.0,200.0,-1000.0,-1000,哈哈哈笑你～～～
298,2,獅子座,Android,213.0,79.0,1.0,50.0,1111.0,999,I'm outlier
308,2,雙魚座,JohnCena,900.0,10.0,5.0,199.0,10.0,1,good
381,1,天秤座,Android,200.0,10.0,1.0,50.0,0.0,1000,Free
