id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,bmi
1.0,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0,18.13121942992073
2.0,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5,19.312952005259696
3.0,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0,21.107266435986162
4.0,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0,21.453287197231838
5.0,2,10.0,1.0,158.0,67.0,3.0,125.2,370.0,1.2,26.83864765261977
6.0,2,11.0,1.0,158.0,50.0,3.0,100.0,903.0,2.0,20.028841531805796
7.0,1,8.0,1.0,165.0,50.0,4.0,115.0,209.0,9.59,18.36547291092746
8.0,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,1.62900598,19.723183391003463
9.0,2,9.4,1.0,166.3,52.0,2.0,100.0,521.3,5.34,18.80264061392068
10.0,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0,20.202020202020204
11.0,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0,19.333729922665082
12.0,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87,19.48696145124717
13.0,2,1.0,0.0,162.6,53.3,3.0,200.0,3049.2,161.0272,20.159795693897898
14.0,1,0.0,1.0,168.0,53.0,4.1,100.0,300.0,2.5,18.77834467120182
15.0,2,4.0,0.0,163.2,52.0,4.8,98.0,1200.0,2.0,19.52374086889658
16.0,2,7.0,0.0,154.0,43.0,2.0,180.0,583.0,0.0,18.13121942992073
17.0,2,7.0,0.0,156.0,47.0,2.0,130.0,400.0,3.5,19.312952005259696
18.0,1,10.0,1.0,170.0,61.0,3.0,90.0,540.0,5.0,21.107266435986162
19.0,1,10.0,0.0,170.0,62.0,4.0,100.0,173.0,5.0,21.453287197231838
20.0,2,10.0,1.0,158.0,67.0,3.0,128.0,320.0,1.2,26.83864765261977
21.0,2,7.7,1.0,158.0,50.0,3.0,110.2,903.0,2.0,20.028841531805796
22.0,1,7.6,0.0,170.5,50.0,4.0,115.0,362.5,25.388,17.199714484739552
23.0,2,4.0,1.0,170.0,57.0,4.0,100.0,1200.0,1.62900598,19.723183391003463
24.0,2,10.0,1.0,168.0,52.0,2.0,104.8,580.0,5.34,18.42403628117914
25.0,2,2.0,0.0,165.0,55.0,5.0,130.0,542.0,2.0,20.202020202020204
26.0,2,8.0,1.0,164.0,52.0,3.0,180.0,300.0,1.0,19.333729922665082
27.0,2,7.0,1.0,168.0,55.0,2.0,180.0,300.0,0.87,19.48696145124717
28.0,2,5.0,0.0,163.0,60.0,3.0,121.4,160.0,0.99,22.582709172343712
29.0,1,0.0,1.0,168.0,53.0,4.1,100.0,300.0,2.5,18.77834467120182
30.0,2,4.0,0.0,163.0,52.0,5.0,98.0,1200.0,2.0,19.57168128269788
31.0,1,3.0,1.0,175.0,75.0,5.0,50.0,200.0,1.0,24.489795918367346
32.0,1,10.0,1.0,169.0,75.0,1.0,90.0,0.0,41.0,26.25958474843318
33.0,1,7.1,1.0,174.5,75.0,3.4,90.0,831.1,41.0,24.630339652383803
34.0,1,11.0,1.0,180.0,60.0,3.0,120.0,404.0,0.37,18.51851851851852
35.0,1,11.0,0.0,170.0,55.0,1.0,199.0,611.0,402.9,19.031141868512112
36.0,1,11.0,0.0,162.0,43.0,5.0,180.0,6666.0,87.0,16.384697454656298
37.0,1,5.0,0.6,171.5,68.5,2.9,118.2,460.8,4.436400000000001,23.289615721340596
38.0,1,3.0,1.0,175.0,75.0,5.0,87.0,9487.0,87.0,24.489795918367346
39.0,2,4.6,0.0,163.0,48.0,2.0,115.1,304.2,4.0,18.06616733787497
40.0,2,0.0,0.0,163.0,48.0,2.0,87.0,250.0,4.0,18.06616733787497
41.0,1,0.0,1.0,165.0,47.0,3.2,105.0,800.0,3.14,17.263544536271812
